question_id,query,difficulty,dataset,plan,type,columns
1505,"Among the customers who paid in euro, how many of them have a monthly consumption of over 1000?",simple,debit_card_specializing,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/debit_card_specializing/customers""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""Currency"":""EUR""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/debit_card_specializing/yearmonth""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""Consumption"":{""min"":1000}}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""CustomerID"", ""columns_right"": ""CustomerID"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":[""CustomerID""]}}]}",-,-
1473,What was the average monthly consumption of customers in SME for the year 2013?,moderate,debit_card_specializing,"{""plans"": [{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/debit_card_specializing/customers""}},{""function"": ""http://127.0.0.1:5200/filter"", ""filter_dict"": {""conditions"": {""Segment"": ""SME""}}},{""function"": ""http://127.0.0.1:5200/retrieve"",""filter_dict"": {""product"": ""http://127.0.0.1:5000/products/debit_card_specializing/yearmonth""}},{""function"": ""http://127.0.0.1:5200/filter"",""filter_dict"": {""conditions"": {""Date"": {""min"": 201301, ""max"": 201312}}}},{""function"": 'combination','filter_dict': {""columns_left"": ""CustomerID"", ""columns_right"": ""CustomerID"", ""type"": ""equals"",""values"": [""None""]}},{""function"": ""http://127.0.0.1:5200/mean"",""filter_dict"": {""columns"": [""Consumption""]}},{""function"": ""http://127.0.0.1:5200/divide"",""filter_dict"": {""columns"": [""Consumption""],""number"":12}}]}",-,-
1509,"Among the transactions made in the gas stations in the Czech Republic, how many of them are taken place after 2012/1/1?",challenging,debit_card_specializing,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/debit_card_specializing/gasstations'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""Country"":""CZE""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/debit_card_specializing/transactions_1k'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""Date"":{""min"":""2012-01-01""}}}},{'function': 'combination', 'filter_dict': {'columns_left': 'GasStationID', 'columns_right': 'GasStationID', 'type': 'equals', 'values': 'GasStationID'}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":""TransactionID""}}]}",-,-
137,How many accounts have running contracts in Branch location 1?,moderate,financial,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/financial/account""}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/financial/loan""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""status"":[""C"",""D""]}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""account_id"", ""columns_right"": ""account_id"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/financial/district""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""district_id"":1}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""district_id"", ""columns_right"": ""district_id"", ""type"": ""equals"", ""values"": [""None""]}},{'function': 'http://127.0.0.1:5200/count', 'filter_dict': {'columns': 'account_id'}}]}",-,-
93,How many male customers who are living in North Bohemia have average salary greater than 8000?,moderate,financial,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/financial/client'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""gender"":""M""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/financial/district'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""A3"":""north Bohemia"",""A11"":{""min"":8000}}}},{'function':'combination', 'filter_dict':{'columns_left': 'district_id', 'columns_right': 'district_id', 'type': 'equals','values': ['None']}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":""client_id""}}]}",-,-
112,"For the female client who was born in 1976/1/29, which district did she opened her account?",simple,financial,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/financial/client""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""gender"":""F"",""birth_date"":""1976-01-29""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/financial/district""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""district_id"", ""columns_right"": ""district_id"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
92,List out the no. of districts that have female average salary is more than 6000 but less than 10000?,simple,financial,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/financial/client""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""gender"":""F""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/financial/district""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""district_id"", ""columns_right"": ""district_id"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""A11"":{""min"":6000,""max"":10000}}}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":""district_id"",""unique"":""True""}}]}",-,-
149,"Please list the account types that are not eligible for loans, and the average income of residents in the district where the account is located exceeds $8000 but is no more than $9000.",challenging,financial,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/financial/district'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""A11"":{""min"":8000,""max"":9000}}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/financial/account'}},{'function':'combination', 'filter_dict':{'columns_left': 'district_id', 'columns_right': 'district_id', 'type': 'equals','values': ['None']}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/financial/disp'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""type"":""DISPONENT""}}},{'function':'combination', 'filter_dict':{'columns_left': 'account_id', 'columns_right': 'account_id', 'type': 'equals','values': ['None']}},]}",index,account_id
1225,List and group all patients by sex for total bilirubin (T-BIL) level not within the normal range.,moderate,thrombosis_prediction,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/thrombosis_prediction/Patient'}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/thrombosis_prediction/Laboratory'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""T-BIL"":{""min"":2}}}},{'function':'combination', 'filter_dict':{'columns_left': 'ID', 'columns_right': 'ID', 'type': 'equals','values': ['None']}},{""function"":""http://127.0.0.1:5200/sortby"",""filter_dict"":{""ascending"":""True"",""columns"":""SEX""}}]}",index,ID
1179,"For the patient who was diagnosed with SLE on 1994/2/19, what was his/her anti-Cardiolipin antibody concentration status on 1993/11/12?",moderate,thrombosis_prediction,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/thrombosis_prediction/Patient""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""Diagnosis"":""SLE"",""Description"":""1994-02-19""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/thrombosis_prediction/Examination""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""Examination Date"":""1993-11-12""}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""ID"", ""columns_right"": ""ID"", ""type"": ""equals"", ""values"": [""None""]}}]}",-,-
1155,"List the patient ID, sex and birthday of patient with LDH beyond normal range.",simple,thrombosis_prediction,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/thrombosis_prediction/Patient""}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/thrombosis_prediction/Laboratory""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""LDH"":{""min"":500}}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""ID"", ""columns_right"": ""ID"", ""type"": ""equals"", ""values"": [""None""]}}]}",index,ID
1251,How many patients with an Ig G higher than normal?,simple,thrombosis_prediction,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/thrombosis_prediction/Patient""}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/thrombosis_prediction/Laboratory""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""IGG"":{""min"":2000}}}},{""function"":'combination', 'filter_dict': {""columns_left"": ""ID"", ""columns_right"": ""ID"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/thrombosis_prediction/Examination""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""ID"", ""columns_right"": ""ID"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":""ID"",""unique"":""True""}}]}",-,-
1247,"Among the male patients who have a normal level of white blood cells, how many of them have an abnormal fibrinogen level?",challenging,thrombosis_prediction,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/thrombosis_prediction/Patient'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""SEX"":""M""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/thrombosis_prediction/Laboratory'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""WBC"":{""min"":3.6,""max"":9.1},""FG"":[{""max"":150},{""min"":450}]}}},{'function':'combination', 'filter_dict':{'columns_left': 'ID', 'columns_right': 'ID', 'type': 'equals','values': ['None']}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":""ID"",""unique"":""True""}}]}",-,-
327,Which non-carcinogenic molecules consisted more than 5 atoms?,moderate,toxicology,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/toxicology/molecule""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""label"":""-""}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/toxicology/atom""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""molecule_id"", ""columns_right"": ""molecule_id"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":""atom_id"",""unique"":""False"",""group_by"":[""molecule_id""]}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""count"":{""min"":5.1}}}}]}",index,molecule_id
248,"What are the atoms of the triple bond with the molecule ""TR041""?",simple,toxicology,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/toxicology/molecule'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""molecule_id"":""TR041""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/toxicology/atom'}},{'function':'combination', 'filter_dict':{'columns_left': 'molecule_id', 'columns_right': 'molecule_id', 'type': 'equals','values': ['None']}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/toxicology/connected'}},{'function':'combination', 'filter_dict':{'columns_left': 'atom_id', 'columns_right': 'atom_id', 'type': 'equals','values': ['None']}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/toxicology/bond'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""bond_type"":""#""}}},{'function':'combination', 'filter_dict':{'columns_left': 'bond_id', 'columns_right': 'bond_id', 'type': 'equals','values': ['None']}}]}",-,-
243,What are the bonds that have phosphorus and nitrogen as their atom elements?,moderate,toxicology,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/toxicology/atom""}},{""function"":""http://127.0.0.1:5200/filter"",""filter_dict"":{""conditions"":{""element"":[""p"",""n""]}}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/toxicology/connected""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""atom_id"", ""columns_right"": ""atom_id"", ""type"": ""equals"", ""values"": [""None""]}},{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/toxicology/bond""}},{""function"":'combination', 'filter_dict': {""columns_left"": ""bond_id"", ""columns_right"": ""bond_id"", ""type"": ""equals"", ""values"": [""None""]}}]}",index,bond_id
249,What are the elements of the atoms of TR144_8_19?,challenging,toxicology,"{'plans': [{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/toxicology/connected'}},{'function': 'http://127.0.0.1:5200/filter', ""values"": {""conditions"": {""bond_id"":""TR144_8_19""}}},{'function': 'http://127.0.0.1:5200/retrieve','filter_dict': {'product': 'http://127.0.0.1:5000/products/toxicology/atom'}},{'function':'combination', 'filter_dict':{'columns_left': 'atom_id', 'columns_right': 'atom_id', 'type': 'equals','values': ['None']}}]}",-,-
195,What is the most common bond type?,simple,toxicology,"{""plans"":[{""function"":""http://127.0.0.1:5200/retrieve"",""filter_dict"":{""product"":""http://127.0.0.1:5000/products/toxicology/bond""}},{""function"":""http://127.0.0.1:5200/count"",""filter_dict"":{""columns"":""bond_id"",""unique"":""False"",""group_by"":[""bond_type""]}},{""function"":""http://127.0.0.1:5200/max"",""filter_dict"":{""columns"":""count"",""rows"":1}}]}",-,-
